keyword,link,crawling
청바지,/app/product/detail/891163/0,no
청바지,/app/product/detail/891162/0,no
청바지,/app/product/detail/891161/0,no
청바지,/app/product/detail/730875/0,no
청바지,/app/product/detail/730773/0,no
청바지,/app/product/detail/730705/0,no
청바지,/app/product/detail/321114/0,no
청바지,/app/product/detail/168430/0,no
청바지,/app/product/detail/985389/0,no
청바지,/app/product/detail/985385/0,no
청바지,/app/product/detail/985384/0,no
청바지,/app/product/detail/985383/0,no
청바지,/app/product/detail/928031/0,no
청바지,/app/product/detail/903343/0,no
청바지,/app/product/detail/903342/0,no
청바지,/app/product/detail/903341/0,no
청바지,/app/product/detail/903340/0,no
청바지,/app/product/detail/760623/0,no
청바지,/app/product/detail/493947/0,no
청바지,/app/product/detail/493944/0,no
청바지,/app/product/detail/484266/0,no
청바지,/app/product/detail/468752/0,no
청바지,/app/product/detail/260863/0,no
청바지,/app/product/detail/157657/0,no
청바지,/app/product/detail/1046532/0,no
청바지,/app/product/detail/1045490/0,no
청바지,/app/product/detail/752440/0,no
청바지,/app/product/detail/182845/0,no
청바지,/app/product/detail/991760/0,no
청바지,/app/product/detail/991758/0,no
청바지,/app/product/detail/991756/0,no
청바지,/app/product/detail/991754/0,no
청바지,/app/product/detail/991750/0,no
청바지,/app/product/detail/991737/0,no
청바지,/app/product/detail/991723/0,no
청바지,/app/product/detail/991722/0,no
청바지,/app/product/detail/991717/0,no
청바지,/app/product/detail/991715/0,no
청바지,/app/product/detail/991713/0,no
청바지,/app/product/detail/991712/0,no
청바지,/app/product/detail/991711/0,no
청바지,/app/product/detail/991703/0,no
청바지,/app/product/detail/991702/0,no
청바지,/app/product/detail/991701/0,no
청바지,/app/product/detail/991700/0,no
청바지,/app/product/detail/991699/0,no
청바지,/app/product/detail/991697/0,no
청바지,/app/product/detail/991693/0,no
청바지,/app/product/detail/991691/0,no
청바지,/app/product/detail/991690/0,no
청바지,/app/product/detail/991671/0,no
청바지,/app/product/detail/991667/0,no
청바지,/app/product/detail/991648/0,no
청바지,/app/product/detail/991638/0,no
청바지,/app/product/detail/960628/0,no
청바지,/app/product/detail/960621/0,no
청바지,/app/product/detail/955779/0,no
청바지,/app/product/detail/955773/0,no
청바지,/app/product/detail/955762/0,no
청바지,/app/product/detail/955746/0,no
청바지,/app/product/detail/955738/0,no
청바지,/app/product/detail/955726/0,no
청바지,/app/product/detail/955709/0,no
청바지,/app/product/detail/955702/0,no
청바지,/app/product/detail/955687/0,no
청바지,/app/product/detail/955681/0,no
청바지,/app/product/detail/955660/0,no
청바지,/app/product/detail/955653/0,no
청바지,/app/product/detail/955646/0,no
청바지,/app/product/detail/955638/0,no
청바지,/app/product/detail/955630/0,no
청바지,/app/product/detail/955623/0,no
청바지,/app/product/detail/955611/0,no
청바지,/app/product/detail/955604/0,no
청바지,/app/product/detail/955596/0,no
청바지,/app/product/detail/955588/0,no
청바지,/app/product/detail/955579/0,no
청바지,/app/product/detail/955573/0,no
청바지,/app/product/detail/955563/0,no
셔츠,/app/product/detail/533067/0,yes
셔츠,/app/product/detail/829211/0,yes
셔츠,/app/product/detail/492930/0,yes
셔츠,/app/product/detail/826451/0,no
셔츠,/app/product/detail/728000/0,no
셔츠,/app/product/detail/859956/0,no
셔츠,/app/product/detail/620634/0,no
셔츠,/app/product/detail/409641/0,no
셔츠,/app/product/detail/620643/0,no
셔츠,/app/product/detail/533011/0,no
셔츠,/app/product/detail/483796/0,no
셔츠,/app/product/detail/713749/0,no
셔츠,/app/product/detail/609474/0,no
셔츠,/app/product/detail/558100/0,no
셔츠,/app/product/detail/620638/0,no
셔츠,/app/product/detail/982592/0,no
셔츠,/app/product/detail/623548/0,no
셔츠,/app/product/detail/947067/0,no
셔츠,/app/product/detail/592829/0,no
셔츠,/app/product/detail/854337/0,no
셔츠,/app/product/detail/707695/0,no
셔츠,/app/product/detail/58538/0,no
셔츠,/app/product/detail/713074/0,no
셔츠,/app/product/detail/375860/0,no
셔츠,/app/product/detail/627490/0,no
셔츠,/app/product/detail/606678/0,no
셔츠,/app/product/detail/709014/0,no
셔츠,/app/product/detail/853189/0,no
셔츠,/app/product/detail/620642/0,no
셔츠,/app/product/detail/580286/0,no
셔츠,/app/product/detail/875126/0,no
셔츠,/app/product/detail/483798/0,no
셔츠,/app/product/detail/703991/0,no
셔츠,/app/product/detail/400250/0,no
셔츠,/app/product/detail/859949/0,no
셔츠,/app/product/detail/560855/0,no
셔츠,/app/product/detail/890749/0,no
셔츠,/app/product/detail/620639/0,no
셔츠,/app/product/detail/714459/0,no
셔츠,/app/product/detail/728002/0,no
셔츠,/app/product/detail/622079/0,no
셔츠,/app/product/detail/472240/0,no
셔츠,/app/product/detail/713073/0,no
셔츠,/app/product/detail/982594/0,no
셔츠,/app/product/detail/837353/0,no
셔츠,/app/product/detail/627721/0,no
셔츠,/app/product/detail/483795/0,no
셔츠,/app/product/detail/826449/0,no
셔츠,/app/product/detail/400249/0,no
셔츠,/app/product/detail/198733/0,no
셔츠,/app/product/detail/493516/0,no
