keyword,text,date,category
청바지,처음 구매 했는데 마음 쏙 들어가요 바지 스타일 도 멋있어요,2018.10.17 08:05,None
청바지,살짝 스판끼있 고 이쁩니다 쨍 검은색 아니고 살짝 끄 무리한 검은색 이에요 이뻐여,2018.07.10 22:29,None
청바지,허벅지 쪽 스크레치 있었네요 그렇게 신경 쓰일 아닌데 무난 하게 입을수 있을거 같아요,2018.04.02 03:12,None
청바지,기존 청바지 사이즈 대로 갔어야 했는데 아쉽게도 사이즈 미스 인해서 많이 입질 못 있네요 ㅠ 그래도 재질 가성 비 좋아서 퍼블릭 아이콘 계속 이용 할 입니다,2017.12.06 22:36,size
청바지,여자친구 선물 사줬는데 너무 좋아하네요,2019.04.26 13:34,None
청바지,사진 많이 파랗지만 이뻐요 슬림 하면서도 부담 스럽지 않은 핏 이에요 뭔가 거 입으면 기분 도 좋아짐 ㅎㅎ,2019.04.03 16:18,size
청바지,길이 감 사이즈 모두 적당하네요 밑 커팅 포인트 도 이뻐요 색감 도 괜찮구요,2019.04.01 10:47,size
청바지,요새 산 옷 제일 맘 듭니 다 부츠 컷 존예 바지 도 참 짱짱하고 좋아요,2019.04.10 02:43,None
청바지,와이드 진 너무 좋고 입겠습니다 잘산거 같아요,2019.05.14 21:25,None
청바지,먼지 많이 붙긴한데 핏 이쁩니다 가격 대비 음 여,2019.02.09 17:12,price
청바지,좋아요 ㅎㅎㅎ 사이즈 도 딱이고 배송 도 빠르고 감사합니다,2019.01.30 22:22,size
청바지,주머니 쪽 챙 이라고 해야하나 그게 잘못 갈렸 ㄴ 엄청 날카롭더라구요 ㅜㅜ 불량 인 고 같은데 그냥 삿포로 갈아서 입고있습니다,2018.12.05 20:45,None
청바지,평소 입고 가기 도 좋고 코디 하기 좋은 무난 제품,2019.05.08 03:28,None
청바지,약간 년대 청바지 스타일 입니다 색감 도 괜찮고 살짝 도톰한게 봄가을에 입기 좋겠네요 다만 아쉬운건 허벅지 통 기재 된거 큼니다,2019.03.03 22:31,None
청바지,제 원래 인데 허벅지 굵은 편이 라 와이드 핏 같은건 한번 도 입어보고 항상 허벅지 맞는 슬림핏 만 입어오다가 이번 할인 할 구매 하게 됐는데 진짜진짜 편하고 간,2019.02.27 11:48,size
청바지,친구 도 주문 해서 번째 주문 인데 배송 오래 걸렷는데 저렴한 가격 예쁜 바지 사서 좋네요,2019.02.23 11:38,price
청바지,배송 이느려 당황 했지만 그래도 받았네요 입을게요,2019.02.22 14:58,None
청바지,이상하면 어쩌지 열어 봤는데 너무 만족했습니다,2019.02.22 14:08,None
청바지,딱 원하던 색상 핏 요 게다가 가격 저렴하게 사서 친구 거도 주문 했습니다 키로 인데 루즈 하게 맞고 허리 조금 남아 요,2019.02.19 01:34,price
청바지,배송 도 빠르고 옷 도 이쁘네요 입고 다니겠습니다,2019.02.17 17:13,None
청바지,설연휴 쯤 결제 했는데 빠르게 온것 같아용 감사합니다,2019.02.12 16:29,None
청바지,허리 부분 뭔가 넓어서 바지 넣어 입으면 부분 여서 너무 이상해요 시한 티 허리 부분 가려서 입어 야해요 무조건,2019.02.06 14:53,None
청바지,제 다리 굵은 편이 라 한번 구매 해봤는데 핏도좋 고 딱좋아요 근데 허리 너무 커요,2018.12.01 19:47,size
청바지,그냥 검은색 청바지 인데 신축 성은 없고 걍 그래요,2019.05.05 22:58,None
청바지,저렴하게 기 대안 샀는데 길이 적당하고 핏 도 좋아요 다만 발목 시 보리 만 짱짱했으면 좋겠습니다,2019.04.30 22:54,size
청바지,통 지도 않고 크지도 않아 진짜 원하던 사이즈 에요 휴가 시키고 쓰네요 ㅋㅋ,2019.02.16 19:40,size
청바지,설연휴 결제 같은데 비교 상품 빨리 도착 아영 물건 도 맘 듭,2019.02.12 16:30,None
청바지,바지 질 진짜 좋고 샀는데 허리 크지만 벨트 매서 입으면 진짜 편하고 이쁜것 같습니다 디자인 보고 고른것 같아요,2019.05.01 09:02,None
청바지,사이즈 를 잘못 주문 했는데도 이뻐요 치수 크게 입는 도 괜찮은 같아요,2019.04.06 08:43,size
청바지,비슷한 디자인 바지 있긴한데 반값 세 하길래 호다닥 샀 습 니 닿 ㅎㅎ 입을게요,2019.03.27 22:03,None
청바지,넘나 귀여워요 색도 너무 이쁘고 딱 이쁜 중청 이에요,2019.04.23 13:17,size
청바지,받았어요 신축 성 좋아 편하고 색도 여름 입을수있을듯 해 요,2019.04.15 00:14,None
청바지,배송 늦음 배송 무지무지 늦 엇음 배송 누락 인해,2019.02.05 00:10,None
청바지,원단 좋은데 사이즈 큰게 있으면 좋겠어요 슬림핏 이라 평소 크게 사야하네,2019.04.30 07:06,size
청바지,소재 일반 인 청바지 와는 다르네요 조금 흐물거리 느낌 입니다,2019.05.03 20:16,None
청바지,브랜드 처음 입어 보는데 디자인 핏 색 다 만족합니다 키 인데 사이즈 기장 조금 기네 요 조금 길어서 그냥 입어요 핏 좋고 무난 편하게 입고,2019.05.05 16:48,size
청바지,저렴한 가격 좋은 바지 겟했네 요 입겠습니다,2019.05.04 09:18,price
청바지,옷 왔는데 교환 하기 너무 힘드네요 다 교환 하실 반송 택배 비 조심하세요 작게나와 교환 요청 후 반송 비용 동봉 하여 보냈는데 하도안와 서 반송 후 문의 하니 답변 반송 금액,2019.05.14 16:26,price
청바지,기장 많이 길 어 서 따로 수선 필수 인 듯 찢어진 부위 랑 워싱 참 이쁩니다 근데 밑위 꽤 길어서 다리 짧아,2019.05.02 01:00,None
청바지,허벅지 타이 트 게 딱 맞아서 자주 입게 될지는 모르겠네요 허리 살짝 남는 디자인 이쁨 두꺼워서 한여름 못 입을듯,2019.04.18 09:24,size
청바지,사이즈 정사 이즈 딱이네요 입을게요 감사합니다,2019.04.15 00:57,size
청바지,사이즈 많에 작아요 완전 스키 니 허리 사이즈 업 해서 입어야 좋을듯,2019.03.04 05:03,size
